COUNTY_NAME,NUMBER_HOSPITALS,POPULATION,TOTAL_AVL_BEDS,MEAN_AVL_BEDS,ST_DEV_AVL_BEDS,AVL_BEDS_PER_THOUSAND,REVENUE
Alameda,48,1635693,11180,232.91666666666666,129.47682505742236,6.83502344266314,4151361197
Amador,4,41486,208,52.0,0.0,5.013739574796317,119068814
Butte,12,207384,1978,164.83333333333334,125.0286027881281,9.53786213015469,524956591
Calaveras,4,46544,100,25.0,0.0,2.148504640770024,137763923
Colusa,4,21952,192,48.0,0.0,8.746355685131196,77789396
Contra Costa,24,1160296,4372,182.16666666666666,110.78285327481932,3.76800402655874,4491758166
Del Norte,4,26758,196,49.0,0.0,7.324912175797892,92022093
El Dorado,8,193071,870,108.75,3.575711717366809,4.506114330997405,485758432
Fresno,28,1017107,7628,272.42857142857144,308.3054556251867,7.499702587829993,2322654843
Glenn,4,28371,100,25.0,0.0,3.524725952557189,116343605
Humboldt,16,135013,934,58.375,53.23141303152992,6.917852354958411,475114946
Imperial,8,179767,1072,134.0,28.86421412654183,5.963274683340102,516757810
Inyo,7,18745,211,30.142857142857142,6.4142698058981855,11.256335022672712,105903825
Kern,51,917293,7288,142.90196078431373,99.24923272287012,7.945116772939508,2294574372
Kings,4,152776,940,235.0,0.0,6.152798868932293,339308110
Lake,8,68239,200,25.0,0.0,2.93087530591011,215038774
Lassen,4,30401,100,25.0,0.0,3.2893654813986384,89656741
Los Angeles,361,9748447,86322,239.1191135734072,158.78096266832097,8.854948895962607,34008289675
Madera,8,160414,1856,232.0,134.6996659238619,11.570062463376015,395550207
Marin,12,257143,1372,114.33333333333333,64.40967365703742,5.335552591359671,948790725
Mariposa,4,17095,132,33.0,0.0,7.721556010529394,98728473
Mendocino,12,90027,400,33.333333333333336,12.309149097933272,4.443111510991147,0
Merced,8,292034,896,112.0,79.10932760607761,3.0681359019840158,657277025
Modoc,8,8625,378,47.25,24.0639030203213,43.826086956521735,39447229
Mono,4,13055,68,17.0,0.0,5.208732286480276,81007324
Monterey,16,436427,3012,188.25,78.14814990345793,6.901497845000424,1556582434
Napa,8,134492,1196,149.5,1.6035674514745464,8.892722243702227,512283724
Nevada,8,102356,664,83.0,22.44994432064365,6.487162452616359,251175910
Orange,123,3158489,23540,191.3821138211382,132.76711524536904,7.452930815969282,6010844341
Placer,8,418439,1784,223.0,169.9781498563019,4.2634649255925,950449899
Plumas,12,19433,468,39.0,26.927512122194077,24.082745844697165,87066434
Riverside,75,2479628,13974,186.32,139.8723510726641,5.635522747767004,6177896212
Sacramento,44,1588743,11258,255.86363636363637,187.3985419651268,7.08610517874823,4432558562
San Benito,4,67715,544,136.0,0.0,8.033670530901572,142258330
San Bernardino,92,2196029,15970,173.58695652173913,138.70794301110413,7.2722172612474605,5998381783
San Diego,92,3283755,25207,273.9891304347826,206.15157629285,7.676273047167039,6389181072
San Joaquin,28,795880,4520,161.42857142857142,103.41553310200787,5.679248127858471,2239777511
San Luis Obispo,12,282535,1112,92.66666666666667,15.28715047669021,3.9357955651512198,805053422
San Mateo,16,732485,5364,335.25,148.96509658305868,7.323016853587445,2690213748
Santa Barbara,20,445286,3830,191.5,166.45988927318828,8.60121360204453,1301339118
Santa Clara,32,1883653,12984,405.75,313.3648805898593,6.892989313849206,8726356201
Santa Cruz,12,265851,1424,118.66666666666667,83.2491696200283,5.356383839067749,845499493
Shasta,17,180972,2574,151.41176470588235,75.57203419877737,14.223194748358862,442313857
Siskiyou,8,43746,200,25.0,0.0,4.571846568829151,125930152
Solano,12,449724,1484,123.66666666666667,62.355772982478726,3.299801656126869,931094140
Sonoma,32,483398,2796,87.375,86.6326132436241,5.784053719709226,1527550487
Stanislaus,28,552410,5534,197.64285714285714,161.37653560349548,10.0179214713709,1218296651
Sutter,4,98682,56,14.0,0.0,0.5674793782047385,232167990
Tehama,4,65269,196,49.0,0.0,3.002956993365917,185023219
Trinity,4,15777,192,48.0,0.0,12.169613995056094,75477173
Tulare,12,478288,3392,282.6666666666667,243.59479518746753,7.09196132873917,1129474322
Tuolumne,4,53951,608,152.0,0.0,11.26948527367426,204023095
Ventura,28,835032,6084,217.28571428571428,125.97967418150557,7.285948322938522,2775041107
Yolo,8,223338,600,75.0,28.86421412654183,2.6865110281277707,524093277
Yuba,4,84335,884,221.0,0.0,10.482006284460782,266922004
