COUNTY_NAME,REVENUE
Los Angeles,34008289675
Santa Clara,8726356201
San Diego,6389181072
Riverside,6177896212
Orange,6010844341
San Bernardino,5998381783
Contra Costa,4491758166
Sacramento,4432558562
Alameda,4151361197
Ventura,2775041107
San Mateo,2690213748
Fresno,2322654843
Kern,2294574372
San Joaquin,2239777511
Monterey,1556582434
Sonoma,1527550487
Santa Barbara,1301339118
Stanislaus,1218296651
Tulare,1129474322
Placer,950449899
Marin,948790725
Solano,931094140
Santa Cruz,845499493
San Luis Obispo,805053422
Merced,657277025
Butte,524956591
Yolo,524093277
Imperial,516757810
Napa,512283724
El Dorado,485758432
Humboldt,475114946
Shasta,442313857
Madera,395550207
Kings,339308110
Yuba,266922004
Nevada,251175910
Sutter,232167990
Lake,215038774
Tuolumne,204023095
Tehama,185023219
San Benito,142258330
Calaveras,137763923
Siskiyou,125930152
Amador,119068814
Glenn,116343605
Inyo,105903825
Mariposa,98728473
Del Norte,92022093
Lassen,89656741
Plumas,87066434
Mono,81007324
Colusa,77789396
Trinity,75477173
Modoc,39447229
Sierra,27002180
Alpine,22868255
Mendocino,0
